date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:44:55	6630/6630	---M--	200	added ('OK')	text/html	etag:%2219e6-51affbcb1e51a%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.cm-1.0.7.pom	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.cm-1.0.7.html	(from http://www.apache.org/dist/aries/)
13:44:57	189/189	---M-Z	200	added ('OK')	text/plain	etag:%22bd-51affbcb1e51a-gzip%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.cm-1.0.7.pom.asc	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.cm-1.0.7.pom.asc	(from http://www.apache.org/dist/aries/)
13:44:59	57327/57327	---M--	200	added ('OK')	application/java-archive	etag:%22dfef-51affbcb1e51a%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.cm-1.0.7.jar	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.cm-1.0.7.jar	(from http://www.apache.org/dist/aries/)
13:44:59	40/40	---M--	200	added ('OK')	text/plain	etag:%2228-51affbcb1e51a%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.cm-1.0.7.pom.asc.sha1	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.cm-1.0.7.pom.asc.sha1	(from http://www.apache.org/dist/aries/)
13:45:01	40/40	---M--	200	added ('OK')	text/plain	etag:%2228-51affbcb1e51a%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.cm-1.0.7.pom.sha1	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.cm-1.0.7.pom.sha1	(from http://www.apache.org/dist/aries/)
13:45:05	6713/6713	---M--	200	added ('OK')	application/zip	etag:%221a39-4d48494b76a5e%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.compatibility-1.0.0-source-release.zip	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.compatibility-1.0.0-source-release.zip	(from http://www.apache.org/dist/aries/)
13:45:05	310/310	---M-Z	200	added ('OK')	text/plain	etag:%22136-577c8e0dba3ff-gzip%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.compatibility-1.0.0-source-release.zip.asc	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.compatibility-1.0.0-source-release.zip.asc	(from http://www.apache.org/dist/aries/)
13:45:07	40/40	---M--	200	added ('OK')	text/plain	etag:%2228-4d48494b76a5e%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.compatibility-1.0.0-source-release.zip.sha1	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.compatibility-1.0.0-source-release.zip.sha1	(from http://www.apache.org/dist/aries/)
13:45:11	8043/8043	---M--	200	added ('OK')	application/java-archive	etag:%221f6b-4d48494b76a5e%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.compatibility-1.0.0.jar	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.compatibility-1.0.0.jar	(from http://www.apache.org/dist/aries/)
13:45:11	310/310	---M-Z	200	added ('OK')	text/plain	etag:%22136-577c8e0dba3ff-gzip%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.compatibility-1.0.0.jar.asc	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.compatibility-1.0.0.jar.asc	(from http://www.apache.org/dist/aries/)
